ECR_ID,Date_Raised,Change_Type,Request_Department,Assigned_To,Priority,Status,Approval_Days,Implementation_Days,Total_Turnaround,Delay_Cause,Effectiveness_Rating
ECR-1000,2024-01-10,Drawing,Supply Chain,Eng_8,Critical,In Review,9,0,,Vendor Delay,
ECR-1001,2024-05-22,Material,Design,Eng_7,High,Open,6,0,,Late Approval,
ECR-1002,2024-05-10,Process,Quality,Eng_9,Medium,In Review,5,0,,Late Approval,
ECR-1003,2024-04-03,Material,Design,Eng_5,Low,Approved,2,0,,Late Approval,
ECR-1004,2024-01-07,Process,Supply Chain,Eng_9,Medium,Approved,9,0,,Late Approval,
ECR-1005,2024-04-08,Material,Production,Eng_4,Medium,Approved,2,0,,Vendor Delay,
ECR-1006,2024-06-28,Material,Quality,Eng_1,Low,In Review,10,0,,Vendor Delay,
ECR-1007,2024-05-27,Design,Quality,Eng_9,High,Approved,9,0,,Design Conflict,
ECR-1008,2024-04-26,Material,Design,Eng_9,Medium,In Review,10,0,,Design Conflict,
ECR-1009,2024-06-26,Software,Supply Chain,Eng_3,Medium,Rejected,7,0,,Vendor Delay,
ECR-1010,2024-04-26,Material,Production,Eng_9,Low,Completed,4,7,11,Resource Shortage,3
ECR-1011,2024-03-02,Software,Supply Chain,Eng_9,Medium,Completed,4,20,24,None,4
ECR-1012,2024-01-09,Drawing,Quality,Eng_8,Critical,Completed,10,9,19,None,5
ECR-1013,2024-02-26,Process,Production,Eng_5,High,Completed,6,5,11,Late Approval,2
ECR-1014,2024-06-29,Drawing,Supply Chain,Eng_9,Low,In Review,10,0,,Late Approval,
ECR-1015,2024-05-05,Process,Quality,Eng_10,Medium,In Review,9,0,,Vendor Delay,
ECR-1016,2024-03-31,Material,Quality,Eng_5,High,Approved,6,0,,Vendor Delay,
ECR-1017,2024-04-17,Material,Production,Eng_6,Critical,In Review,9,0,,Resource Shortage,
ECR-1018,2024-06-15,Material,Supply Chain,Eng_7,Medium,Completed,7,15,22,Design Conflict,2
ECR-1019,2024-03-26,Drawing,Design,Eng_9,High,Completed,1,16,17,None,4
ECR-1020,2024-05-09,Material,Quality,Eng_7,Medium,Open,7,0,,Design Conflict,
ECR-1021,2024-03-06,Material,Production,Eng_2,High,Rejected,3,0,,Missing Data,
ECR-1022,2024-06-24,Material,Design,Eng_9,High,Approved,3,0,,Resource Shortage,
ECR-1023,2024-03-25,Material,Supply Chain,Eng_10,Critical,In Review,4,0,,Missing Data,
ECR-1024,2024-06-27,Design,Supply Chain,Eng_6,Critical,Open,4,0,,Resource Shortage,
ECR-1025,2024-06-29,Drawing,Production,Eng_1,Low,Rejected,7,0,,Late Approval,
ECR-1026,2024-01-15,Design,Production,Eng_9,Medium,Completed,2,2,4,Design Conflict,4
ECR-1027,2024-03-13,Design,Supply Chain,Eng_6,Low,Rejected,5,0,,Late Approval,
ECR-1028,2024-06-24,Process,Supply Chain,Eng_6,Low,In Review,5,0,,Design Conflict,
ECR-1029,2024-05-14,Drawing,Design,Eng_7,High,Approved,5,0,,Resource Shortage,
ECR-1030,2024-02-06,Drawing,Quality,Eng_5,Low,In Review,6,0,,Resource Shortage,
ECR-1031,2024-02-19,Drawing,Supply Chain,Eng_7,High,Rejected,7,0,,Resource Shortage,
ECR-1032,2024-02-26,Process,Supply Chain,Eng_1,High,In Review,8,0,,Resource Shortage,
ECR-1033,2024-04-01,Design,Design,Eng_2,Medium,In Review,6,0,,Vendor Delay,
ECR-1034,2024-03-05,Design,Quality,Eng_6,Medium,Open,5,0,,Vendor Delay,
